,ID,Country,Brand,Type,Package,Rating,Image
0,0,IDN,Brand A,Seaweed Instant Noodle,Cup,5,https://m.media-amazon.com/images/I/61quHK5npuL._SL1000_.jpg
1,1,KOR,Brand B,Beef Ramen,Cup,3.3,https://d2lhip1ki8p4nk.cloudfront.net/uploads/products/Cup-Noodles.jpg?mtime=20170823112640
2,2,JPN,Brand C,Chicken Ramen,Cup,3.8,
3,3,JPN,Brand D,Shoyu Ramen,Cup,5,
4,4,JPN,Brand E,Miso Ramen,Cup,5,
5,5,SGP,Brand F,Curry Ramen,Cup,3.5,
6,6,THA,Brand G,Tom Yum Ramen,Cup,5,
7,7,USA,Brand A,Chicken Instant Noodle,Cup,4,
8,8,KOR,Brand B,Mushroom Instant Noodle,Cup,5,
9,9,JPN,Brand C,Beef and Mushroom Instant Noodle,Cup,4.8,
10,10,JPN,Brand D,Kimchi Ramen,Cup,4.3,
11,11,JPN,Brand E,Shoyu Ramen,Cup,2,
12,12,JPN,Brand F,Shoyu Ramen,Cup,2,
13,13,JPN,Brand G,Shoyu Ramen,Cup,3.8,
14,14,JPN,Brand A,Tantannen,Cup,3.8,
15,15,TWN,Brand B,Noodles Spicy Hot Sesame Spicy Hot Sesame Guan-miao Noodles,Pack,1,
16,16,USA,Brand C,Cup Noodles Chicken Vegetable,Cup,2.3,
17,17,TWN,Brand D,GGE Ramen Snack Tomato Flavor,Pack,2.8,
18,18,IDN,Brand E,SGP Curry,Pack,3.8,
19,19,KOR,Brand F,Kimchi song Song Ramen,Pack,4.8,
20,20,JPN,Brand A,Spice Deli Tantan Men With Cilantro,Cup,4,
21,21,JPN,Brand B,Nabeyaki Kitsune Udon,Tray,3.8,
22,22,JPN,Brand C,Hokkaido Soy Sauce Ramen,Pack,0.3,
23,23,SGP,Brand D,The Original Spicy Stir-Fried Noodles,Pack,2.5,
24,24,THA,Brand E,Creamy tom Yum Kung Flavour,Pack,5,
25,25,USA,Brand F,Yokohama Tonkotsu Shoyu,Pack,5,
26,26,KOR,Brand G,Mr. Bibim Stir-Fried Kimchi Flavor,Pack,4.3,
27,27,JPN,Brand A,Deka Buto Kimchi Pork Flavor,Bowl,4.5,
28,28,HKG,Brand B,Demae Ramen Bar Noodle Aka Tonkotsu Flavour Instant Noodle,Pack,5,
29,29,SGP,Brand C,Mushroom Flavour Instant Noodles,Cup,3.5,
30,30,IDN,Brand D,Mario Masala Noodles,Pack,3.8,
31,31,USA,Brand E,Tokyo Shoyu Ramen,Pack,5,
32,32,VNM,Brand F,Mi Hai Cua,Pack,4,
33,33,KOR,Brand G,Premium Gomtang,Pack,4,
34,34,HKG,Brand A,Cup Noodles Laksa Flavour,Cup,4.3,
35,35,USA,Brand B,Beef Ramen,Pack,5,
36,36,SGP,Brand C,Creamy Soup With Crushed Noodles Hot & Sour Fish Flavor,Cup,5,
37,37,USA,Brand D,Sapporo Miso Ramen,Pack,4.8,
